	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
RhASF-10_1_2088	RhASF-10	1	2088	2294060	2295340	-1	C	K08218	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG								Major Facilitator Superfamily [PF07690.21]; BT1 family [PF03092.21]; MFS/sugar transport protein [PF13347.11]; MFS_1 like family [PF12832.12]; Acetyl-coenzyme A transporter 1 [PF13000.12]					0
RhASF-10_1_2089	RhASF-10	1	2089	2295345	2295977	-1	D										GyrI-like small molecule binding domain [PF06445.20]					0
RhASF-10_1_2090	RhASF-10	1	2090	2296001	2297521	-1	D			MER0215158	M38	MER0215158 - family M38 non-peptidase homologues (Starkeya novella) [M38.UNW]#M38#{peptidase unit: 26-399}~source YP_003695501~	True	0.549	393.0	2.49e-118	Amidohydrolase family [PF01979.25]; Amidohydrolase family [PF07969.16]					0
RhASF-10_1_2091	RhASF-10	1	2091	2297562	2299019	-1	C	K03457	nucleobase:cation symporter-1, NCS1 family								Permease for cytosine/purines, uracil, thiamine, allantoin [PF02133.20]					0
RhASF-10_1_2092	RhASF-10	1	2092	2299139	2300656	1	C	K09684	PucR family transcriptional regulator, purine catabolism regulatory protein								Purine catabolism regulatory protein-like family [PF07905.16]; PucR C-terminal helix-turn-helix domain [PF13556.11]					0
RhASF-10_1_2093	RhASF-10	1	2093	2300675	2302219	-1	C	K03310	alanine or glycine:cation symporter, AGCS family								Sodium:alanine symporter family [PF01235.22]					0
RhASF-10_1_2094	RhASF-10	1	2094	2302312	2303565	-1	D										EAL domain [PF00563.25]					0
RhASF-10_1_2095	RhASF-10	1	2095	2303805	2305097	1	C	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]								Protein kinase domain [PF00069.30]; Protein tyrosine and serine/threonine kinase [PF07714.22]; Fungal protein kinase [PF17667.6]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.19]; Kinase-like [PF14531.11]					0
RhASF-10_1_2096	RhASF-10	1	2096	2305128	2306468	1	D										Flavin containing amine oxidoreductase [PF01593.29]; NAD(P)-binding Rossmann-like domain [PF13450.11]; FAD binding domain [PF00890.29]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.11]; Flavin-binding monooxygenase-like [PF00743.24]; FAD binding domain [PF01494.24]; FAD dependent oxidoreductase [PF12831.12]					0
RhASF-10_1_2097	RhASF-10	1	2097	2306576	2308042	1	C	K03310	alanine or glycine:cation symporter, AGCS family								Sodium:alanine symporter family [PF01235.22]					0
RhASF-10_1_2098	RhASF-10	1	2098	2308130	2309734	1	C	K14445	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5								Sodium:sulfate symporter transmembrane region [PF00939.24]; Citrate transporter [PF03600.21]					0
RhASF-10_1_2099	RhASF-10	1	2099	2309921	2311984	1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_2100	RhASF-10	1	2100	2311988	2312647	-1	D										short chain dehydrogenase [PF00106.30]; Enoyl-(Acyl carrier protein) reductase [PF13561.11]					0
RhASF-10_1_2101	RhASF-10	1	2101	2312764	2313240	1	D										MmyB-like transcription regulator ligand binding domain [PF17765.6]					0
RhASF-10_1_2102	RhASF-10	1	2102	2313949	2314392	1	C	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]								Carboxymuconolactone decarboxylase family [PF02627.25]					0
RhASF-10_1_2103	RhASF-10	1	2103	2314443	2315261	1	C	K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]								Formamidopyrimidine-DNA glycosylase N-terminal domain [PF01149.29]; Formamidopyrimidine-DNA glycosylase H2TH domain [PF06831.19]					0
RhASF-10_1_2104	RhASF-10	1	2104	2315557	2316021	-1	D										Polyketide cyclase / dehydrase and lipid transport [PF10604.14]					0
RhASF-10_1_2105	RhASF-10	1	2105	2316296	2317240	1	D										Formyl transferase [PF00551.24]; Formyl transferase, C-terminal domain [PF02911.23]					0
RhASF-10_1_2106	RhASF-10	1	2106	2317237	2318949	1	D										ABC transporter [PF00005.32]					0
RhASF-10_1_2107	RhASF-10	1	2107	2318946	2320706	1	C	K06148	ATP-binding cassette, subfamily C, bacterial								ABC transporter [PF00005.32]; ABC transporter transmembrane region [PF00664.28]					0
RhASF-10_1_2108	RhASF-10	1	2108	2320732	2325312	1	D										AMP-binding enzyme [PF00501.33]; Condensation domain [PF00668.25]; Phosphopantetheine attachment site [PF00550.30]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_2109	RhASF-10	1	2109	2325339	2327537	1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]; Phosphopantetheine attachment site [PF00550.30]					0
RhASF-10_1_2110	RhASF-10	1	2110	2327534	2333938	1	D										Condensation domain [PF00668.25]; AMP-binding enzyme [PF00501.33]; Thioesterase domain [PF00975.25]; AMP-binding enzyme C-terminal domain [PF13193.11]; Phosphopantetheine attachment site [PF00550.30]					0
RhASF-10_1_2111	RhASF-10	1	2111	2334005	2334970	-1	C	K25287	iron-desferrioxamine transport system substrate-binding protein								Periplasmic binding protein [PF01497.23]					0
RhASF-10_1_2112	RhASF-10	1	2112	2335322	2336110	-1	C	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]								ABC transporter [PF00005.32]; RecF/RecN/SMC N terminal domain [PF02463.24]					0
RhASF-10_1_2113	RhASF-10	1	2113	2336107	2336847	-1	C	K02029	polar amino acid transport system permease protein								Binding-protein-dependent transport system inner membrane component [PF00528.27]					0
RhASF-10_1_2114	RhASF-10	1	2114	2336878	2337738	-1	C	K02030	polar amino acid transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 3 [PF00497.25]					0
RhASF-10_1_2115	RhASF-10	1	2115	2337967	2338971	-1	C	K02529	LacI family transcriptional regulator, galactose operon repressor								Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.26]; Periplasmic binding protein-like domain [PF13377.11]; Bacterial regulatory proteins, lacI family [PF00356.26]					0
RhASF-10_1_2116	RhASF-10	1	2116	2339144	2340106	1	D										Dihydrodipicolinate synthetase family [PF00701.27]					0
RhASF-10_1_2117	RhASF-10	1	2117	2340096	2341244	1	D										FAD dependent oxidoreductase [PF01266.29]; FAD binding domain [PF00890.29]; FAD binding domain [PF01494.24]					0
RhASF-10_1_2118	RhASF-10	1	2118	2341258	2341644	1	D										Allophanate hydrolase C-terminal domain [PF21986.1]					0
RhASF-10_1_2119	RhASF-10	1	2119	2341641	2343029	1	C	K01464	dihydropyrimidinase [EC:3.5.2.2]	MER0245169	M38	MER0245169 - family M38 non-peptidase homologues (Pseudonocardia dioxanivorans) [M38.UNW]#M38#{peptidase unit: 25-412}~source YP_004334180~	True	0.547	405.0	2.854e-123	Amidohydrolase family [PF01979.25]					0
RhASF-10_1_2120	RhASF-10	1	2120	2343086	2343508	-1	E															0
RhASF-10_1_2121	RhASF-10	1	2121	2344680	2345450	-1	C	K01816	hydroxypyruvate isomerase [EC:5.3.1.22]								Xylose isomerase-like TIM barrel [PF01261.29]					0
RhASF-10_1_2122	RhASF-10	1	2122	2345452	2346474	-1	C	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]								Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27]; Oxidoreductase family, C-terminal alpha/beta domain [PF02894.22]; Homoserine dehydrogenase, NAD binding domain [PF03447.21]; GFO/IDH/MocA C-terminal domain [PF22725.1]; CoA binding domain [PF02629.24]	GH109	GH109 alpha-N-acetylgalactosaminidase (EC 3.2.1.49); beta-N-acetylhexosaminidase (EC 3.2.1.52)	3.2.1.49,3.2.1.52	GH109.hmm	0
RhASF-10_1_2123	RhASF-10	1	2123	2346591	2347583	1	D										Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.26]; Periplasmic binding protein-like domain [PF13377.11]; Bacterial regulatory proteins, lacI family [PF00356.26]; Periplasmic binding protein domain [PF13407.11]					0
RhASF-10_1_2124	RhASF-10	1	2124	2347746	2347886	-1	E															0
RhASF-10_1_2125	RhASF-10	1	2125	2347985	2349001	-1	C	K02529	LacI family transcriptional regulator, galactose operon repressor								Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.26]; Periplasmic binding protein-like domain [PF13377.11]; Periplasmic binding protein domain [PF13407.11]; Bacterial regulatory proteins, lacI family [PF00356.26]					0
RhASF-10_1_2126	RhASF-10	1	2126	2349279	2350694	1	C	K06609	MFS transporter, SP family, major inositol transporter								Sugar (and other) transporter [PF00083.29]; Major Facilitator Superfamily [PF07690.21]					0
RhASF-10_1_2127	RhASF-10	1	2127	2350723	2351079	1	D										Universal stress protein family [PF00582.31]					0
RhASF-10_1_2128	RhASF-10	1	2128	2351329	2352825	-1	C	K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]								Aldehyde dehydrogenase family [PF00171.27]					0
RhASF-10_1_2129	RhASF-10	1	2129	2352850	2353719	-1	C	K06605	myo-inositol catabolism protein IolH								Xylose isomerase-like TIM barrel [PF01261.29]					0
RhASF-10_1_2130	RhASF-10	1	2130	2353725	2354759	-1	C	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]								Oxidoreductase family, C-terminal alpha/beta domain [PF02894.22]; Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27]; Homoserine dehydrogenase, NAD binding domain [PF03447.21]; GFO/IDH/MocA C-terminal domain [PF22725.1]					0
RhASF-10_1_2131	RhASF-10	1	2131	2354783	2355706	-1	C	K03335	inosose dehydratase [EC:4.2.1.44]								Xylose isomerase-like TIM barrel [PF01261.29]					0
RhASF-10_1_2132	RhASF-10	1	2132	2355748	2357700	-1	C	K03336	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]								Thiamine pyrophosphate enzyme, central domain [PF00205.27]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.26]; Thiamine pyrophosphate enzyme, N-terminal TPP binding domain [PF02776.23]					0
RhASF-10_1_2133	RhASF-10	1	2133	2357703	2358584	-1	C	K03337	5-deoxy-glucuronate isomerase [EC:5.3.1.30]								KduI/IolB family [PF04962.17]					0
RhASF-10_1_2134	RhASF-10	1	2134	2358588	2359490	-1	D										Cgl0159-like [PF22649.1]					0
RhASF-10_1_2135	RhASF-10	1	2135	2359483	2360469	-1	C	K03338	5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]								pfkB family carbohydrate kinase [PF00294.29]					0
RhASF-10_1_2136	RhASF-10	1	2136	2360671	2361441	1	C	K03710	GntR family transcriptional regulator								UTRA domain [PF07702.18]; Bacterial regulatory proteins, gntR family [PF00392.26]					0
RhASF-10_1_2137	RhASF-10	1	2137	2361478	2362476	-1	C	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]								Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27]; Oxidoreductase family, C-terminal alpha/beta domain [PF02894.22]; GFO/IDH/MocA C-terminal domain [PF22725.1]					0
RhASF-10_1_2138	RhASF-10	1	2138	2362555	2363589	1	C	K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]								Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27]; Homoserine dehydrogenase, NAD binding domain [PF03447.21]; NADP oxidoreductase coenzyme F420-dependent [PF03807.22]; GFO/IDH/MocA C-terminal domain [PF22725.1]					0
RhASF-10_1_2139	RhASF-10	1	2139	2363732	2364766	1	C	K02058	simple sugar transport system substrate-binding protein								Periplasmic binding protein domain [PF13407.11]					0
RhASF-10_1_2140	RhASF-10	1	2140	2364833	2365891	1	C	K02057	simple sugar transport system permease protein								Branched-chain amino acid transport system / permease component [PF02653.21]					0
RhASF-10_1_2141	RhASF-10	1	2141	2365895	2366713	1	D										ABC transporter [PF00005.32]					0
RhASF-10_1_2142	RhASF-10	1	2142	2366793	2367956	1	D										Oxidoreductase family, C-terminal alpha/beta domain [PF02894.22]; Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27]; Homoserine dehydrogenase, NAD binding domain [PF03447.21]; GFO/IDH/MocA C-terminal domain [PF22725.1]; Gal80p, C-terminal domain [PF22685.1]					0
RhASF-10_1_2143	RhASF-10	1	2143	2368024	2368830	-1	D										Bacterial regulatory proteins, gntR family [PF00392.26]					0
RhASF-10_1_2144	RhASF-10	1	2144	2368867	2370225	-1	D										Cytochrome P450 [PF00067.27]					0
RhASF-10_1_2145	RhASF-10	1	2145	2370340	2371785	-1	C	K06609	MFS transporter, SP family, major inositol transporter								Sugar (and other) transporter [PF00083.29]; Major Facilitator Superfamily [PF07690.21]					0
RhASF-10_1_2146	RhASF-10	1	2146	2372284	2373465	1	D										Pyridine nucleotide-disulphide oxidoreductase [PF07992.19]; FAD-NAD(P)-binding [PF13454.11]					0
RhASF-10_1_2147	RhASF-10	1	2147	2373480	2373923	1	C	K06205	MioC protein								Flavodoxin [PF00258.30]					0
RhASF-10_1_2148	RhASF-10	1	2148	2373966	2374940	1	D										Aldo/keto reductase family [PF00248.26]					0
RhASF-10_1_2149	RhASF-10	1	2149	2374954	2375712	1	C	K01470	creatinine amidohydrolase [EC:3.5.2.10]								Creatinine amidohydrolase [PF02633.19]					0
RhASF-10_1_2150	RhASF-10	1	2150	2375830	2376495	1	E															0
RhASF-10_1_2151	RhASF-10	1	2151	2376492	2376827	1	E															0
RhASF-10_1_2152	RhASF-10	1	2152	2376874	2378082	1	D										CoA-transferase family III [PF02515.22]					0
RhASF-10_1_2153	RhASF-10	1	2153	2378079	2379452	1	D			MER0174315	M38	MER0174315 - family M38 non-peptidase homologues (Silicibacter pomeroyi) [M38.UNW]#M38#{peptidase unit: 148-519}~source AAV93966~	False	0.19	72.0	1.675e-11	Amidohydrolase family [PF07969.16]; Amidohydrolase family [PF01979.25]					0
RhASF-10_1_2154	RhASF-10	1	2154	2379453	2380481	-1	D										Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10]					0
RhASF-10_1_2155	RhASF-10	1	2155	2380507	2381268	-1	C	K03710	GntR family transcriptional regulator								UTRA domain [PF07702.18]; Bacterial regulatory proteins, gntR family [PF00392.26]					0
RhASF-10_1_2156	RhASF-10	1	2156	2381294	2382448	-1	D										Acyl-CoA dehydrogenase, C-terminal domain [PF00441.29]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.21]; Acyl-CoA dehydrogenase, middle domain [PF02770.24]					0
RhASF-10_1_2157	RhASF-10	1	2157	2382775	2383575	1	C	K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]								HpcH/HpaI aldolase/citrate lyase family [PF03328.19]; Pyruvate kinase, barrel domain [PF00224.26]					0
RhASF-10_1_2158	RhASF-10	1	2158	2383572	2384555	1	D										Mesaconyl-CoA hydratase [PF19315.4]					0
RhASF-10_1_2159	RhASF-10	1	2159	2384581	2385444	1	C	K07001	NTE family protein								Patatin-like phospholipase [PF01734.27]					0
RhASF-10_1_2160	RhASF-10	1	2160	2385549	2387222	1	C	K00528	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]								Pyridine nucleotide-disulphide oxidoreductase [PF07992.19]; 4Fe-4S dicluster domain [PF12838.12]; 4Fe-4S dicluster domain [PF13247.11]; 4Fe-4S dicluster domain [PF13187.11]; 4Fe-4S dicluster domain [PF14697.11]; 4Fe-4S dicluster domain [PF13237.11]; 4Fe-4S binding domain [PF00037.32]					0
RhASF-10_1_2161	RhASF-10	1	2161	2387278	2388450	-1	C	K00529	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]								Pyridine nucleotide-disulphide oxidoreductase [PF07992.19]; Reductase C-terminal [PF14759.11]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.32]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.11]					0
RhASF-10_1_2162	RhASF-10	1	2162	2388473	2389072	-1	D										Thioesterase superfamily [PF03061.27]					0
RhASF-10_1_2163	RhASF-10	1	2163	2389069	2389992	-1	D										Luciferase-like monooxygenase [PF00296.25]					0
RhASF-10_1_2164	RhASF-10	1	2164	2390006	2391181	-1	D										Acyl-CoA dehydrogenase, C-terminal domain [PF00441.29]; Acyl-CoA dehydrogenase, middle domain [PF02770.24]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.21]; Acyl-CoA dehydrogenase, C-terminal domain [PF08028.16]					0
RhASF-10_1_2165	RhASF-10	1	2165	2391193	2391777	-1	E															0
RhASF-10_1_2166	RhASF-10	1	2166	2391792	2392694	-1	D			MER0174155	S33	MER0174155 - family S33 unassigned peptidases (Rhodococcus opacus) [S33.UPW]#S33#{peptidase unit: 16-289}~source BAH55424~	True	0.771	432.0	1.221e-135	Serine aminopeptidase, S33 [PF12146.13]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; Dienelactone hydrolase family [PF01738.23]; Prolyl oligopeptidase family [PF00326.26]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.23]; Acetyl xylan esterase (AXE1) [PF05448.17]					0
RhASF-10_1_2167	RhASF-10	1	2167	2392734	2393933	-1	D										Thiolase, N-terminal domain [PF00108.28]; Thiolase, C-terminal domain [PF02803.23]					0
RhASF-10_1_2168	RhASF-10	1	2168	2393963	2395477	-1	C	K23463	(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase [EC:1.2.1.-]								Aldehyde dehydrogenase family [PF00171.27]; Protein of unknown function (DUF1487) [PF07368.16]					0
RhASF-10_1_2169	RhASF-10	1	2169	2395514	2397934	-1	C	K07546	(E)-benzylidenesuccinyl-CoA hydratase [EC:4.2.1.180]								AMP-binding enzyme [PF00501.33]; Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_2170	RhASF-10	1	2170	2397942	2399489	-1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_2171	RhASF-10	1	2171	2399553	2400077	-1	D										Ring hydroxylating beta subunit [PF00866.23]					0
RhASF-10_1_2172	RhASF-10	1	2172	2400080	2401390	-1	D										Rieske [2Fe-2S] domain [PF00355.31]; Ring hydroxylating alpha subunit (catalytic domain) [PF00848.24]					0
RhASF-10_1_2173	RhASF-10	1	2173	2401387	2401920	-1	D										DUF35 OB-fold domain, acyl-CoA-associated [PF01796.22]					0
RhASF-10_1_2174	RhASF-10	1	2174	2401917	2403083	-1	D										Thiolase C-terminal domain-like [PF22691.1]; Thiolase, N-terminal domain [PF00108.28]					0
RhASF-10_1_2175	RhASF-10	1	2175	2403080	2403319	-1	E															0
RhASF-10_1_2176	RhASF-10	1	2176	2403644	2404603	1	D			MER0174154	S33	MER0174154 - family S33 unassigned peptidases (Rhodococcus opacus) [S33.UPW]#S33#{peptidase unit: 8-284}~source BAH55414~	True	0.866	497.0	7.793e-158	alpha/beta hydrolase fold [PF00561.25]; Serine aminopeptidase, S33 [PF12146.13]; Alpha/beta hydrolase family [PF12697.12]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.17]					0
RhASF-10_1_2177	RhASF-10	1	2177	2404596	2405423	1	C	K02509	2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]								Fumarylacetoacetate (FAA) hydrolase family [PF01557.23]					0
RhASF-10_1_2178	RhASF-10	1	2178	2405420	2406196	1	C	K02510	4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]								HpcH/HpaI aldolase/citrate lyase family [PF03328.19]					0
RhASF-10_1_2179	RhASF-10	1	2179	2406289	2407461	1	D										Acyl-CoA dehydrogenase, C-terminal domain [PF00441.29]; Acyl-CoA dehydrogenase, middle domain [PF02770.24]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.21]					0
RhASF-10_1_2180	RhASF-10	1	2180	2407478	2408506	1	D										Acyl-CoA dehydrogenase, C-terminal domain [PF00441.29]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.21]					0
RhASF-10_1_2181	RhASF-10	1	2181	2408503	2409654	1	D										Thiolase C-terminal domain-like [PF22691.1]; Thiolase, N-terminal domain [PF00108.28]; Thiolase, C-terminal domain [PF02803.23]					0
RhASF-10_1_2182	RhASF-10	1	2182	2409717	2411195	1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_2183	RhASF-10	1	2183	2411192	2411920	1	D										Tyrosine phosphatase family [PF13350.11]; Swiss Army Knife protein, DSP-PTPase phosphatase domain [PF22784.1]; Polymorphic toxin system, DSP-PTPase phosphatase [PF22785.1]					0
RhASF-10_1_2184	RhASF-10	1	2184	2411939	2412133	1	C	K05337	ferredoxin								4Fe-4S single cluster domain [PF13459.11]; 4Fe-4S single cluster domain of Ferredoxin I [PF13370.11]					0
RhASF-10_1_2185	RhASF-10	1	2185	2412284	2413147	1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]					0
RhASF-10_1_2186	RhASF-10	1	2186	2413256	2414713	-1	D										Aldehyde dehydrogenase family [PF00171.27]					0
RhASF-10_1_2187	RhASF-10	1	2187	2415030	2416064	-1	D										Luciferase-like monooxygenase [PF00296.25]					0
RhASF-10_1_2188	RhASF-10	1	2188	2416211	2416915	1	D										Bacterial regulatory proteins, gntR family [PF00392.26]					0
RhASF-10_1_2189	RhASF-10	1	2189	2416912	2417694	1	D			MER1073108	S49C	MER1073108 - subfamily S49C non-peptidase homologues (Deferribacter desulfuricans) [S49.UNC]#S49C#{peptidase unit: 109-219}~source D3P9A0~	False	0.411	63.0	1.329e-09	Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10]					0
RhASF-10_1_2190	RhASF-10	1	2190	2417702	2417920	-1	E															0
RhASF-10_1_2191	RhASF-10	1	2191	2418034	2418372	1	E															0
RhASF-10_1_2192	RhASF-10	1	2192	2418503	2419702	-1	D										CoA-transferase family III [PF02515.22]					0
RhASF-10_1_2193	RhASF-10	1	2193	2419860	2420447	-1	D										SnoaL-like domain [PF12680.12]; SnoaL-like domain [PF13577.11]; SnoaL-like polyketide cyclase [PF07366.17]					0
RhASF-10_1_2194	RhASF-10	1	2194	2420444	2421283	-1	D			MER0038228	S33	MER0038228 - family S33 unassigned peptidases (Frankia alni) [S33.UPW]#S33#{peptidase unit: 13-280}~source YP_710786~	False	0.357	147.0	1.274e-37	Serine aminopeptidase, S33 [PF12146.13]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; Thioesterase domain [PF00975.25]					0
RhASF-10_1_2195	RhASF-10	1	2195	2421294	2422217	-1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]					0
RhASF-10_1_2196	RhASF-10	1	2196	2422260	2422688	-1	D										DUF35 OB-fold domain, acyl-CoA-associated [PF01796.22]; Rubredoxin-like zinc ribbon domain (DUF35_N) [PF12172.13]					0
RhASF-10_1_2197	RhASF-10	1	2197	2422695	2423519	-1	C	K15866	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]	MER1072486	S49C	MER1072486 - subfamily S49C non-peptidase homologues (Ralstonia pickettii) [S49.UNC]#S49C#{peptidase unit: 86-230}~source U3R1P1~	False	0.362	80.0	4.652e-15	Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10]					0
RhASF-10_1_2198	RhASF-10	1	2198	2423595	2424848	-1	C	K20497	methyl-branched lipid omega-hydroxylase [EC:1.14.15.14]								Cytochrome P450 [PF00067.27]					0
RhASF-10_1_2199	RhASF-10	1	2199	2424940	2425647	1	D										Isochorismatase family [PF00857.25]					0
RhASF-10_1_2200	RhASF-10	1	2200	2425676	2426473	-1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]					0
RhASF-10_1_2201	RhASF-10	1	2201	2426516	2426797	-1	E															0
RhASF-10_1_2202	RhASF-10	1	2202	2426868	2427674	-1	D										short chain dehydrogenase [PF00106.30]; Enoyl-(Acyl carrier protein) reductase [PF13561.11]; KR domain [PF08659.15]					0
RhASF-10_1_2203	RhASF-10	1	2203	2427730	2428380	-1	D										Bacterial regulatory proteins, tetR family [PF00440.28]					0
RhASF-10_1_2204	RhASF-10	1	2204	2428414	2429217	1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]					0
RhASF-10_1_2205	RhASF-10	1	2205	2429284	2430009	-1	D			MER0174153	S33	MER0174153 - family S33 unassigned peptidases (Rhodococcus opacus) [S33.UPW]#S33#{peptidase unit: 9-236}~source BAH55388~	False	0.705	324.0	2.623e-99	Alpha/beta hydrolase family [PF12697.12]; Serine aminopeptidase, S33 [PF12146.13]; alpha/beta hydrolase fold [PF00561.25]					0
RhASF-10_1_2206	RhASF-10	1	2206	2430006	2431598	-1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_2207	RhASF-10	1	2207	2431611	2432102	-1	D										ChrR Cupin-like domain [PF12973.12]					0
RhASF-10_1_2208	RhASF-10	1	2208	2432137	2432892	-1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]					0
RhASF-10_1_2209	RhASF-10	1	2209	2433103	2434161	1	D			MER0114178	S33	MER0114178 - family S33 unassigned peptidases (Sorangium cellulosum) [S33.UPW]#S33#{peptidase unit: 8-308}~source CAN92078~	False	0.274	102.0	1.366e-21	Serine aminopeptidase, S33 [PF12146.13]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]					0
RhASF-10_1_2210	RhASF-10	1	2210	2434151	2435113	1	D										Luciferase-like monooxygenase [PF00296.25]					0
RhASF-10_1_2211	RhASF-10	1	2211	2435110	2436309	1	D										Acyl-CoA dehydrogenase, middle domain [PF02770.24]; Acyl-CoA dehydrogenase, C-terminal domain [PF00441.29]					0
RhASF-10_1_2212	RhASF-10	1	2212	2436306	2437529	1	D										Acyl-CoA dehydrogenase, C-terminal domain [PF00441.29]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.21]					0
RhASF-10_1_2213	RhASF-10	1	2213	2437551	2438327	-1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]					0
RhASF-10_1_2214	RhASF-10	1	2214	2438333	2439610	-1	C	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]								Acyl-CoA dehydrogenase, C-terminal domain [PF00441.29]; Acyl-CoA dehydrogenase, middle domain [PF02770.24]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.21]					0
RhASF-10_1_2215	RhASF-10	1	2215	2439645	2440778	-1	D										Phosphotransferase enzyme family [PF01636.28]; Uncharacterized oxidoreductase dhs-27 [PF07914.16]; Ecdysteroid kinase-like family [PF02958.25]					0
